sfh.sfr,stellar.m_star
2.4513175873239863e-14,2.8759101422131122e-06
1.470157311986282e-15,1.2411337796507793e-06
1.6427515841067872e-16,1.1574396644356471e-07
4.7039598714868246e-15,1.451049020191205e-06
1.5077551098312046e-14,7.871638684196552e-06
1.8219582895192375e-14,2.421744413052705e-06
5.119090315360131e-15,2.771880251606242e-05
1.3168030145601573e-15,2.6337659044976066e-07
4.1701671760182035e-15,1.9784895103149843e-05
1.21899180940565e-14,4.4555838496907735e-06
3.4702509698142155e-15,4.711483195232002e-06
3.0425268388028925e-15,1.973542561989875e-06
4.841349776237053e-16,1.286181394746173e-07
4.797976411410518e-14,1.6961693130841736e-06
1.1378395835473883e-14,2.4868761215603787e-06
1.5182780277698734e-14,1.8909386759470377e-06
1.6959894953275187e-16,7.952188936792525e-08
8.293690932265591e-15,2.720292541132333e-06
2.797383109437397e-15,6.782005393439888e-07
6.981870336135294e-16,2.1208533827921935e-07
9.049289888509583e-16,5.039211092377648e-07
2.140807227657844e-16,6.526048427331879e-08
1.1044452499952078e-14,4.831995635092578e-06
4.128957347179587e-15,7.064742797596597e-07
3.397562114688215e-15,1.920145762104647e-05
1.9646134290256309e-16,3.6479130293768536e-07
1.5151918254617498e-16,8.596966462257892e-08
1.3154820738919298e-14,2.0897769067045287e-06
2.2132133534853702e-15,4.089802599928101e-07
2.354804477292011e-14,2.2971589595399933e-06
5.940761866643721e-15,1.7028148315322422e-06
1.0329343165498883e-14,5.981816042272098e-06
1.2280426142270581e-14,8.222823069003187e-06
1.0907781693571487e-14,4.825194566609495e-06
1.5939417532736898e-15,7.341954129552056e-07
3.002199395775286e-16,6.405161445064569e-07
1.3883875331782464e-14,3.011146797753815e-06
2.7743719347773272e-15,7.98626724389793e-07
7.88897653560488e-15,4.65008119512477e-06
1.7216998467181987e-14,3.3865468574504324e-06
9.516597067581613e-15,4.077648749738028e-06
7.141343198468211e-16,1.9554105817921575e-07
2.4232229429651185e-15,1.2935626540783262e-05
7.551252797657905e-16,9.774954934489858e-06
1.9518540138353863e-16,1.045639867555432e-06
1.0061432003112176e-14,3.4890036309313773e-06
1.8862688931064122e-16,8.598064234552967e-08
5.133728175697831e-16,3.284372279670389e-08
1.9408919842593075e-16,1.895844295559708e-07
7.741565994655861e-15,1.0094385150564318e-05
3.3798622200186093e-15,1.5833048898581011e-06
6.771248959366419e-16,2.301979255871178e-07
1.0015517847855708e-14,2.5275890319186334e-06
1.1181932753589669e-14,1.9236194343750365e-05
6.655920045772715e-15,5.089508398205962e-05
1.134590409084766e-15,4.89473725636291e-06
2.5691352838768896e-14,4.310915398467776e-06
1.353657148126961e-16,8.890147472931541e-09
3.1683010892682034e-15,6.3306594187056e-07
1.5287130749519547e-14,1.724488728388098e-05
6.778776098153535e-15,2.0889392009195393e-06
3.6067170610246717e-16,9.681138263915032e-08
5.53373297593493e-15,2.0872939924105464e-06
6.671717603388238e-15,4.070329085457829e-06
1.784482955985662e-14,5.598183594724451e-06
1.2476547988067288e-15,1.1974011040489989e-05
1.3634035532665574e-16,6.1047472730419915e-09
2.1603298395086854e-14,3.2880593959810866e-06
1.0786195883110604e-14,4.061409426459106e-06
sfh.sfr,stellar.m_star
4.79706293310676e-16,1.6645635752295472e-06
2.037312417431202e-15,1.3653494192285493e-06
4.837827831716212e-16,2.171721786537942e-07
6.456804717240702e-16,3.772718349455316e-07
4.853456813025455e-16,1.3164742906024036e-07
2.443094712470246e-15,2.876986329789057e-07
8.041327480192798e-16,1.89230743603767e-05
3.191964208507166e-15,9.841871434170734e-07
3.7695970421340847e-16,4.587942451236317e-07
1.4562680084055554e-15,9.003893446151649e-07
8.91932410098087e-16,2.2359427249606027e-06
8.393206797744569e-16,3.596852228147365e-07
4.7599344827248725e-16,1.4356323532664501e-06
3.8372284646231267e-16,1.797328103993806e-07
6.38009096982172e-16,2.0068932716890025e-07
5.05741834685801e-16,1.485182861736885e-07
1.4680981431256672e-15,5.539206521735331e-07
1.2110799117756545e-15,1.9189358753970105e-06
6.115198660513309e-16,1.6747445789961138e-07
3.6185908448869107e-16,4.878030597442766e-07
2.1568135924024725e-15,4.93401211956826e-07
1.4665427289170808e-15,9.363568081347897e-07
2.4964277300818976e-16,1.8499622528170373e-06
7.534811734609803e-16,4.4826698158860614e-07
2.540828924471017e-16,5.622401521680762e-07
2.7688037834382445e-16,2.3925123510650953e-07
8.7202351068203255e-16,1.325788386566976e-06
3.548399130075313e-16,5.676845595543259e-07
5.65562269724275e-16,4.404740483835678e-07
2.9593275940269035e-16,5.235370709585337e-07
2.9531797136070133e-15,1.1957205228776082e-06
1.0546797143030937e-15,2.2155932887638415e-07
1.5416120623317106e-16,8.556650289917667e-08
1.468202527516249e-15,5.630337759879792e-07
3.7516665315010333e-16,8.201404688875573e-08
1.2973825936590034e-15,3.186571803189225e-07
8.27599424737872e-16,2.370717846322213e-06
5.423895734880659e-16,1.8710823637258123e-07
1.4239484208452813e-15,7.483480694382326e-06
5.151225920928512e-16,2.2493563684582873e-07
4.2901180087728735e-16,1.8546522684388233e-07
2.828180678446951e-16,1.9401433183762184e-07
1.3932778602184977e-15,4.412293978206807e-07
2.757816411630625e-16,1.9775483278601192e-08
3.900742099245142e-16,1.1509357387381179e-07
3.9791196714896285e-16,1.7716026359042882e-07
1.7299607853703555e-15,1.4328376295834595e-06
4.3468250779811013e-16,2.692135052339443e-07
5.656117140785627e-15,1.61197760786687e-06
3.585541901357619e-16,3.6503805493161426e-06
2.5527256311202934e-16,9.508104592796527e-08
1.1705297315545139e-15,3.3455561999695e-07
1.6091124681381315e-15,3.686100670657194e-07
1.1915891822349842e-15,6.340286382907628e-06
6.950960178296411e-16,6.579940266695937e-07
1.3859928785497362e-15,7.414764014395302e-07
3.3969506976408245e-16,8.706492117382757e-07
1.8278427689245254e-15,7.720367864545433e-07
7.059684064896832e-16,7.020587620344831e-07
1.4672740827106536e-15,1.2297700412997246e-06
2.467131380648529e-15,2.5556499442017082e-06
4.562063538400955e-15,3.190679129000712e-06
2.434790542456421e-15,4.455657182934977e-07
6.897599653597767e-16,2.100695703729029e-07
4.853334463956096e-16,3.0005524322154724e-07
2.018818124014583e-15,4.992905110130491e-07
1.162326797032423e-15,1.1062129386230597e-06
3.4622472462146097e-16,1.0498140868981236e-07
6.488074963929009e-16,6.480369284069542e-07
7.72213648251479e-15,1.11063485283988e-06
3.326938763533469e-16,1.1983607758429082e-07
2.884246925679044e-16,4.685799879276785e-07
1.0585229246980281e-15,2.6589994277871964e-06
1.6391348894359672e-16,4.3767997307798505e-07
4.263626344714701e-16,5.7989791266083e-07
3.3111212608894594e-16,1.0010921130145165e-07
4.984815410170174e-15,1.629629109348989e-06
1.2187129468041526e-15,3.139036023110633e-06
1.192262711748964e-15,3.346966181917355e-07
2.1784888439285321e-16,8.923444506357523e-07
3.984122456285353e-16,2.5488117796113824e-07
5.271317108195979e-16,2.6087301300669147e-06
2.577691131068483e-16,1.377711072819273e-06
2.272535419479122e-16,1.3893538304633911e-07
4.187080987437062e-16,2.4077056192805517e-07
6.501662121151753e-15,1.4245379700551386e-06
1.4253851696143134e-15,5.31453035915191e-07
5.515867771932876e-16,5.341445709874032e-06
4.33881410931695e-16,1.0051602488172014e-06
4.482199422823955e-16,2.054087597588086e-06
