tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
2384.561773543374,2754.937043185275,2177.1188014181034,0.1042047067858988,95.83068761731454,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2826.843545002929,2792.2569284515603,6865.743692571441,0.17004356818300148,72.34622537931273,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2633.5575355739966,1002.0437939525273,9999.818569240817,0.0036810258441502264,16.36637804174336,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9085242049446,4411.794109802895,5754.633092548052,0.1974945720999213,98.11752894286612,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2977.748933172534,1000.3721312045618,283.6591708785545,0.0016407841207814189,35.834915422378955,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2979.4879692627646,5525.374210044604,1038.7770544448322,0.19450751825167178,36.29745141674256,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2621.5050008348553,4603.919831728009,545.491591696109,0.03336422265474562,91.48941241290507,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1559.175783942119,8508.095482782968,722.7791614431644,0.02207265404371833,90.0590658344507,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2065.1640187748153,9074.487966841958,292.92677045407436,0.10978477068666333,95.00127878176083,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1588.0083876931137,6624.628280223706,9761.375083274439,0.19875400799914036,42.29169343264193,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
